SPIMU;Archaeplastida;Streptophyta ZCC grade;Zygnemophyceae;Spirogloeales;Spirogloeaceae;Spirogloea muscicola;2576442
SPIPO;Archaeplastida;Liliopsida;-;Alismatales;Araceae;Spirodela polyrhiza;29656
SPIPRtrTI;Archaeplastida;Streptophyta ZCC grade;Zygnemophyceae;Zygnematales;Zygnemataceae;Spirogyra pratensis;332123
SPISP;Archaeplastida;Streptophyta ZCC grade;Zygnemophyceae;Zygnematales;Zygnemataceae;Spirogyra sp.;3181
TAKLE;Archaeplastida;Bryopsida;Takakiophytina;Takakiales;Takakiaceae;Takakia lepidozioides;37425
TARHA;Archaeplastida;eudicots;rosids;Brassicales;Cleomaceae;Tarenaya hassleriana;28532
THECA;Archaeplastida;eudicots;rosids;Malvales;Malvaceae;Theobroma cacao;3641
THEHA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Thellungiella halophila;98038
THEPA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Thellungiella parvula;98039
TRIAE;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Triticum aestivum;4565
TRIUR;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Triticum urartu;4572
ULVMU;Archaeplastida;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva mutabilis;498180
UTRGI;Archaeplastida;eudicots;asterids;Lamiales;Lentibulariaceae;Utricularia gibba;13748
VITVI;Archaeplastida;eudicots;rosids;Vitales;Vitaceae;Vitis vinifera;29760
VOLCA;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Volvocaceae;Volvox carteri;3067
ZEAMA;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Zea mays;4577
ZOSMA;Archaeplastida;Liliopsida;-;Alismatales;Zosteraceae;Zostera marina;29655
ZYGCIsta;Archaeplastida;Streptophyta ZCC grade;Zygnemophyceae;Zygnematales;Zygnemataceae;Zygnema circumcarinatum;35869
